date,side,variant,regime,structure,ss,ls,sm,lm,entry,pnl,spot,settle,exp
2023-06-08,call,em75_regime_follow,BULL,BCD,4345.0,4335.0,9.2,11.85,2.85,714.03,4293.93,4425.84,2023-06-15
2023-06-08,call,em75_skip_bear,BULL,BCD,4345.0,4335.0,9.2,11.85,2.85,714.03,4293.93,4425.84,2023-06-15
2023-06-08,put,put_regime,BULL,BPC,4250.0,4240.0,13.3,11.3,1.8,179.03,4293.93,4409.59,2023-06-16
2023-06-09,call,50d_always_bull,BULL,BPC,4305.0,4295.0,28.4,24.05,4.15,414.03,4298.86,4409.59,2023-06-16
2023-06-09,call,50d_regime_follow,BULL,BPC,4305.0,4295.0,28.4,24.05,4.15,414.03,4298.86,4409.59,2023-06-16
2023-06-09,call,50d_skip_bear,BULL,BPC,4305.0,4295.0,28.4,24.05,4.15,414.03,4298.86,4409.59,2023-06-16
2023-06-09,call,em75_always_bull,BULL,BCD,4350.0,4340.0,10.15,13.05,3.1,689.03,4298.86,4409.59,2023-06-16
2023-06-09,call,em75_always_short,BULL,BCC,4340.0,4350.0,13.05,10.15,2.7,-730.97,4298.86,4409.59,2023-06-16
2023-06-09,call,em75_regime_follow,BULL,BCD,4350.0,4340.0,10.15,13.05,3.1,689.03,4298.86,4409.59,2023-06-16
2023-06-09,call,em75_skip_bear,BULL,BCD,4350.0,4340.0,10.15,13.05,3.1,689.03,4298.86,4409.59,2023-06-16
2023-06-12,put,put_regime,BEAR,BPD,4280.0,4290.0,11.5,13.6,2.3,-230.97,4338.93,4388.71,2023-06-20
2023-06-13,call,50d_always_bull,BEAR,BPC,4375.0,4365.0,29.0,24.45,4.35,434.03,4369.01,4388.71,2023-06-20
2023-06-13,call,50d_regime_follow,BEAR,BPD,4365.0,4375.0,24.45,29.0,4.75,-475.97,4369.01,4388.71,2023-06-20
2023-06-13,call,em75_always_bull,BEAR,BCD,4420.0,4410.0,10.75,13.5,2.95,-295.97,4369.01,4388.71,2023-06-20
2023-06-13,call,em75_always_short,BEAR,BCC,4410.0,4420.0,13.5,10.75,2.55,254.03,4369.01,4388.71,2023-06-20
2023-06-13,call,em75_regime_follow,BEAR,BCC,4410.0,4420.0,13.5,10.75,2.55,254.03,4369.01,4388.71,2023-06-20
2023-06-13,put,put_regime,BEAR,BPD,4315.0,4325.0,11.0,13.15,2.35,-235.97,4369.01,4365.69,2023-06-21
2023-06-14,call,50d_always_bull,BEAR,BPC,4375.0,4365.0,22.1,17.85,4.05,-526.98,4372.59,4365.69,2023-06-21
2023-06-14,call,50d_regime_follow,BEAR,BPD,4365.0,4375.0,17.85,22.1,4.45,485.04,4372.59,4365.69,2023-06-21
2023-06-14,call,em75_always_bull,BEAR,BCD,4420.0,4410.0,10.35,13.3,3.15,-315.97,4372.59,4365.69,2023-06-21
2023-06-14,call,em75_always_short,BEAR,BCC,4410.0,4420.0,13.3,10.35,2.75,274.03,4372.59,4365.69,2023-06-21
2023-06-14,call,em75_regime_follow,BEAR,BCC,4410.0,4420.0,13.3,10.35,2.75,274.03,4372.59,4365.69,2023-06-21
2023-06-14,put,put_regime,BEAR,BPD,4320.0,4330.0,8.2,10.0,2.0,-200.97,4372.59,4381.89,2023-06-22
2023-06-15,call,50d_always_bull,BULL,BPC,4430.0,4420.0,30.55,25.75,4.6,-540.97,4425.84,4381.89,2023-06-22
2023-06-15,call,50d_regime_follow,BULL,BPC,4430.0,4420.0,30.55,25.75,4.6,-540.97,4425.84,4381.89,2023-06-22
2023-06-15,call,50d_skip_bear,BULL,BPC,4430.0,4420.0,30.55,25.75,4.6,-540.97,4425.84,4381.89,2023-06-22
2023-06-15,call,em75_always_bull,BULL,BCD,4480.0,4470.0,8.4,10.75,2.55,-255.97,4425.84,4381.89,2023-06-22
2023-06-15,call,em75_always_short,BULL,BCC,4470.0,4480.0,10.75,8.4,2.15,214.03,4425.84,4381.89,2023-06-22
2023-06-15,call,em75_regime_follow,BULL,BCD,4480.0,4470.0,8.4,10.75,2.55,-255.97,4425.84,4381.89,2023-06-22
2023-06-15,call,em75_skip_bear,BULL,BCD,4480.0,4470.0,8.4,10.75,2.55,-255.97,4425.84,4381.89,2023-06-22
2023-06-15,put,put_regime,BULL,BPC,4380.0,4370.0,14.7,12.35,2.15,-785.97,4425.84,4348.33,2023-06-23
2023-06-16,put,put_regime,BEAR,BPD,4360.0,4370.0,8.6,10.5,2.1,789.03,4409.59,4328.82,2023-06-26
2023-06-19,call,50d_always_bull,BULL,BPC,4410.0,4400.0,28.7,23.95,4.55,-545.97,4405.0,4328.82,2023-06-26
2023-06-19,call,50d_regime_follow,BULL,BPC,4410.0,4400.0,28.7,23.95,4.55,-545.97,4405.0,4328.82,2023-06-26
2023-06-19,call,50d_skip_bear,BULL,BPC,4410.0,4400.0,28.7,23.95,4.55,-545.97,4405.0,4328.82,2023-06-26
2023-06-19,call,em75_always_bull,BULL,BCD,4455.0,4445.0,7.85,10.25,2.6,-260.97,4405.0,4328.82,2023-06-26
2023-06-19,call,em75_always_short,BULL,BCC,4445.0,4455.0,10.25,7.85,2.2,219.03,4405.0,4328.82,2023-06-26
2023-06-19,call,em75_regime_follow,BULL,BCD,4455.0,4445.0,7.85,10.25,2.6,-260.97,4405.0,4328.82,2023-06-26
2023-06-19,call,em75_skip_bear,BULL,BCD,4455.0,4445.0,7.85,10.25,2.6,-260.97,4405.0,4328.82,2023-06-26
2023-06-19,put,put_regime,BULL,BPC,4360.0,4350.0,13.0,10.8,2.0,199.03,4405.0,4378.41,2023-06-27
2023-06-20,call,50d_always_bull,BULL,BPC,4395.0,4385.0,28.7,23.8,4.7,-530.97,4388.71,4378.41,2023-06-27
2023-06-20,call,50d_regime_follow,BULL,BPC,4395.0,4385.0,28.7,23.8,4.7,-530.97,4388.71,4378.41,2023-06-27
2023-06-20,call,50d_skip_bear,BULL,BPC,4395.0,4385.0,28.7,23.8,4.7,-530.97,4388.71,4378.41,2023-06-27
2023-06-20,call,em75_always_bull,BULL,BCD,4440.0,4430.0,8.3,10.85,2.75,-275.97,4388.71,4378.41,2023-06-27
2023-06-20,call,em75_always_short,BULL,BCC,4430.0,4440.0,10.85,8.3,2.35,234.03,4388.71,4378.41,2023-06-27
2023-06-20,call,em75_regime_follow,BULL,BCD,4440.0,4430.0,8.3,10.85,2.75,-275.97,4388.71,4378.41,2023-06-27
2023-06-20,call,em75_skip_bear,BULL,BCD,4440.0,4430.0,8.3,10.85,2.75,-275.97,4388.71,4378.41,2023-06-27
2023-06-20,put,put_regime,BULL,BPC,4345.0,4335.0,12.25,9.95,2.1,209.03,4388.71,4376.86,2023-06-28
2023-06-21,call,50d_always_bull,BEAR,BPC,4370.0,4360.0,24.25,19.8,4.25,424.03,4365.69,4376.86,2023-06-28
2023-06-21,call,50d_regime_follow,BEAR,BPD,4360.0,4370.0,19.8,24.25,4.65,-465.97,4365.69,4376.86,2023-06-28
2023-06-21,call,em75_always_bull,BEAR,BCD,4415.0,4405.0,8.1,10.7,2.8,-280.97,4365.69,4376.86,2023-06-28
2023-06-21,call,em75_always_short,BEAR,BCC,4405.0,4415.0,10.7,8.1,2.4,239.03,4365.69,4376.86,2023-06-28
2023-06-21,call,em75_regime_follow,BEAR,BCC,4405.0,4415.0,10.7,8.1,2.4,239.03,4365.69,4376.86,2023-06-28
2023-06-21,put,put_regime,BEAR,BPD,4315.0,4325.0,8.8,10.8,2.2,-220.97,4365.69,4396.44,2023-06-29
2023-06-22,call,50d_always_bull,BEAR,BPC,4385.0,4375.0,22.2,17.8,4.2,419.03,4381.89,4396.44,2023-06-29
2023-06-22,call,50d_regime_follow,BEAR,BPD,4375.0,4385.0,17.8,22.2,4.6,-460.97,4381.89,4396.44,2023-06-29
2023-06-22,call,em75_always_bull,BEAR,BCD,4425.0,4415.0,9.0,11.9,3.1,-310.97,4381.89,4396.44,2023-06-29
2023-06-22,call,em75_always_short,BEAR,BCC,4415.0,4425.0,11.9,9.0,2.7,269.03,4381.89,4396.44,2023-06-29
2023-06-22,call,em75_regime_follow,BEAR,BCC,4415.0,4425.0,11.9,9.0,2.7,269.03,4381.89,4396.44,2023-06-29
2023-06-22,put,put_regime,BEAR,BPD,4330.0,4340.0,7.4,9.3,2.1,-210.97,4381.89,4450.38,2023-06-30
2023-06-23,put,put_regime,BULL,BPC,4310.0,4300.0,12.25,10.15,1.9,189.03,4348.33,4455.59,2023-07-03
2023-06-26,call,50d_always_bull,BULL,BPC,4335.0,4325.0,21.95,17.75,4.0,399.03,4328.82,4455.59,2023-07-03
2023-06-26,call,50d_regime_follow,BULL,BPC,4335.0,4325.0,21.95,17.75,4.0,399.03,4328.82,4455.59,2023-07-03
2023-06-26,call,50d_skip_bear,BULL,BPC,4335.0,4325.0,21.95,17.75,4.0,399.03,4328.82,4455.59,2023-07-03
2023-06-26,call,em75_always_bull,BULL,BCD,4375.0,4365.0,10.1,13.05,3.15,684.03,4328.82,4455.59,2023-07-03
2023-06-26,call,em75_always_short,BULL,BCC,4365.0,4375.0,13.05,10.1,2.75,-725.97,4328.82,4455.59,2023-07-03
2023-06-26,call,em75_regime_follow,BULL,BCD,4375.0,4365.0,10.1,13.05,3.15,684.03,4328.82,4455.59,2023-07-03
2023-06-26,call,em75_skip_bear,BULL,BCD,4375.0,4365.0,10.1,13.05,3.15,684.03,4328.82,4455.59,2023-07-03
2023-06-27,put,put_regime,BULL,BPC,4340.0,4330.0,11.0,8.8,2.0,199.03,4378.41,4446.82,2023-07-05
2023-06-28,call,50d_always_bull,BEAR,BPC,4380.0,4370.0,20.35,16.3,3.85,384.03,4376.86,4446.82,2023-07-05
2023-06-28,call,50d_regime_follow,BEAR,BPD,4370.0,4380.0,16.3,20.35,4.25,-425.97,4376.86,4446.82,2023-07-05
2023-06-28,call,em75_always_bull,BEAR,BCD,4420.0,4410.0,9.6,12.75,3.35,664.03,4376.86,4446.82,2023-07-05
2023-06-28,call,em75_always_short,BEAR,BCC,4410.0,4420.0,12.75,9.6,2.95,-705.97,4376.86,4446.82,2023-07-05
2023-06-28,call,em75_regime_follow,BEAR,BCC,4410.0,4420.0,12.75,9.6,2.95,-705.97,4376.86,4446.82,2023-07-05
2023-06-28,put,put_regime,BEAR,BPD,4325.0,4335.0,7.1,8.8,1.9,-190.97,4376.86,4411.59,2023-07-06
2023-06-29,put,put_regime,BULL,BPC,4355.0,4345.0,10.6,8.7,1.7,169.03,4396.44,4398.95,2023-07-07
2023-06-30,put,put_regime,BULL,BPC,4415.0,4405.0,13.2,10.9,2.1,-337.99,4450.38,4409.53,2023-07-10
2023-07-03,put,put_regime,BULL,BPC,4420.0,4410.0,10.65,8.55,1.9,189.03,4455.59,4439.26,2023-07-11
2023-07-04,call,50d_always_bull,BULL,BPC,4460.0,4450.0,25.7,21.0,4.5,-550.97,4455.0,4439.26,2023-07-11
2023-07-04,call,50d_regime_follow,BULL,BPC,4460.0,4450.0,25.7,21.0,4.5,-550.97,4455.0,4439.26,2023-07-11
2023-07-04,call,50d_skip_bear,BULL,BPC,4460.0,4450.0,25.7,21.0,4.5,-550.97,4455.0,4439.26,2023-07-11
2023-07-04,call,em75_always_bull,BULL,BCD,4500.0,4490.0,7.25,9.8,2.75,-275.97,4455.0,4439.26,2023-07-11
2023-07-04,call,em75_always_short,BULL,BCC,4490.0,4500.0,9.8,7.25,2.35,234.03,4455.0,4439.26,2023-07-11
2023-07-04,call,em75_regime_follow,BULL,BCD,4500.0,4490.0,7.25,9.8,2.75,-275.97,4455.0,4439.26,2023-07-11
2023-07-04,call,em75_skip_bear,BULL,BCD,4500.0,4490.0,7.25,9.8,2.75,-275.97,4455.0,4439.26,2023-07-11
2023-07-04,put,put_regime,BULL,BPC,4415.0,4405.0,13.15,10.95,2.0,199.03,4455.0,4472.16,2023-07-12
2023-07-05,call,50d_always_bull,BULL,BPC,4450.0,4440.0,26.15,21.7,4.25,424.03,4446.82,4472.16,2023-07-12
2023-07-05,call,50d_regime_follow,BULL,BPC,4450.0,4440.0,26.15,21.7,4.25,424.03,4446.82,4472.16,2023-07-12
2023-07-05,call,50d_skip_bear,BULL,BPC,4450.0,4440.0,26.15,21.7,4.25,424.03,4446.82,4472.16,2023-07-12
2023-07-05,call,em75_always_bull,BULL,BCD,4495.0,4485.0,7.85,10.5,2.85,-285.97,4446.82,4472.16,2023-07-12
2023-07-05,call,em75_always_short,BULL,BCC,4485.0,4495.0,10.5,7.85,2.45,244.03,4446.82,4472.16,2023-07-12
2023-07-05,call,em75_regime_follow,BULL,BCD,4495.0,4485.0,7.85,10.5,2.85,-285.97,4446.82,4472.16,2023-07-12
2023-07-05,call,em75_skip_bear,BULL,BCD,4495.0,4485.0,7.85,10.5,2.85,-285.97,4446.82,4472.16,2023-07-12
2023-07-05,put,put_regime,BULL,BPC,4405.0,4395.0,12.45,10.35,1.9,189.03,4446.82,4510.04,2023-07-13
2023-07-06,call,50d_always_bull,BULL,BPC,4415.0,4405.0,29.55,25.2,4.15,414.03,4411.59,4510.04,2023-07-13
2023-07-06,call,50d_regime_follow,BULL,BPC,4415.0,4405.0,29.55,25.2,4.15,414.03,4411.59,4510.04,2023-07-13
2023-07-06,call,50d_skip_bear,BULL,BPC,4415.0,4405.0,29.55,25.2,4.15,414.03,4411.59,4510.04,2023-07-13
2023-07-06,call,em75_always_bull,BULL,BCD,4465.0,4455.0,8.6,11.25,2.85,714.03,4411.59,4510.04,2023-07-13
2023-07-06,call,em75_always_short,BULL,BCC,4455.0,4465.0,11.25,8.6,2.45,-755.97,4411.59,4510.04,2023-07-13
2023-07-06,call,em75_regime_follow,BULL,BCD,4465.0,4455.0,8.6,11.25,2.85,714.03,4411.59,4510.04,2023-07-13
2023-07-06,call,em75_skip_bear,BULL,BCD,4465.0,4455.0,8.6,11.25,2.85,714.03,4411.59,4510.04,2023-07-13
2023-07-06,put,put_regime,BULL,BPC,4365.0,4355.0,15.1,13.0,1.9,189.03,4411.59,4505.42,2023-07-14
2023-07-07,call,50d_always_bull,BULL,BPC,4405.0,4395.0,25.1,21.0,3.9,389.03,4398.95,4505.42,2023-07-14
2023-07-07,call,50d_regime_follow,BULL,BPC,4405.0,4395.0,25.1,21.0,3.9,389.03,4398.95,4505.42,2023-07-14
2023-07-07,call,50d_skip_bear,BULL,BPC,4405.0,4395.0,25.1,21.0,3.9,389.03,4398.95,4505.42,2023-07-14
2023-07-07,call,em75_always_bull,BULL,BCD,4450.0,4440.0,8.9,11.8,3.1,689.03,4398.95,4505.42,2023-07-14
2023-07-07,call,em75_always_short,BULL,BCC,4440.0,4450.0,11.8,8.9,2.7,-730.97,4398.95,4505.42,2023-07-14
2023-07-07,call,em75_regime_follow,BULL,BCD,4450.0,4440.0,8.9,11.8,3.1,689.03,4398.95,4505.42,2023-07-14
2023-07-07,call,em75_skip_bear,BULL,BCD,4450.0,4440.0,8.9,11.8,3.1,689.03,4398.95,4505.42,2023-07-14
2023-07-07,put,put_regime,BULL,BPC,4355.0,4345.0,12.1,10.25,1.65,164.03,4398.95,4522.79,2023-07-17
2023-07-10,call,50d_always_bull,BULL,BPC,4415.0,4405.0,26.95,22.55,4.2,419.03,4409.53,4522.79,2023-07-17
2023-07-10,call,50d_regime_follow,BULL,BPC,4415.0,4405.0,26.95,22.55,4.2,419.03,4409.53,4522.79,2023-07-17
2023-07-10,call,50d_skip_bear,BULL,BPC,4415.0,4405.0,26.95,22.55,4.2,419.03,4409.53,4522.79,2023-07-17
2023-07-10,call,em75_always_bull,BULL,BCD,4460.0,4450.0,9.1,11.85,2.95,704.03,4409.53,4522.79,2023-07-17
2023-07-10,call,em75_always_short,BULL,BCC,4450.0,4460.0,11.85,9.1,2.55,-745.97,4409.53,4522.79,2023-07-17
2023-07-10,call,em75_regime_follow,BULL,BCD,4460.0,4450.0,9.1,11.85,2.95,704.03,4409.53,4522.79,2023-07-17
2023-07-10,call,em75_skip_bear,BULL,BCD,4460.0,4450.0,9.1,11.85,2.95,704.03,4409.53,4522.79,2023-07-17
2023-07-10,put,put_regime,BULL,BPC,4365.0,4355.0,12.45,10.45,1.8,179.03,4409.53,4554.98,2023-07-18
2023-07-11,call,50d_always_bull,BEAR,BPC,4445.0,4435.0,29.45,24.95,4.3,429.03,4439.26,4554.98,2023-07-18
2023-07-11,call,50d_regime_follow,BEAR,BPD,4435.0,4445.0,24.95,29.45,4.7,-470.97,4439.26,4554.98,2023-07-18
2023-07-11,call,em75_always_bull,BEAR,BCD,4490.0,4480.0,9.65,12.4,2.95,704.03,4439.26,4554.98,2023-07-18
2023-07-11,call,em75_always_short,BEAR,BCC,4480.0,4490.0,12.4,9.65,2.55,-745.97,4439.26,4554.98,2023-07-18
2023-07-11,call,em75_regime_follow,BEAR,BCC,4480.0,4490.0,12.4,9.65,2.55,-745.97,4439.26,4554.98,2023-07-18
2023-07-11,put,put_regime,BEAR,BPD,4385.0,4395.0,11.85,13.95,2.3,-230.97,4439.26,4565.72,2023-07-19
2023-07-12,put,put_regime,BEAR,BPD,4425.0,4435.0,8.25,10.2,2.15,-215.97,4472.16,4534.87,2023-07-20
2023-07-13,call,em75_always_short,BULL,BCC,4545.0,4555.0,10.7,8.15,2.35,234.03,4510.04,4534.87,2023-07-20
2023-07-14,put,put_regime,BULL,BPC,4465.0,4455.0,11.6,9.45,1.95,194.03,4505.42,4554.64,2023-07-24
2023-07-17,put,put_regime,BULL,BPC,4485.0,4475.0,11.9,9.65,2.05,204.03,4522.79,4567.46,2023-07-25
2023-07-18,call,50d_always_bull,BULL,BPC,4560.0,4550.0,27.0,22.05,4.75,474.03,4554.98,4567.46,2023-07-25
2023-07-18,call,50d_regime_follow,BULL,BPC,4560.0,4550.0,27.0,22.05,4.75,474.03,4554.98,4567.46,2023-07-25
2023-07-18,call,50d_skip_bear,BULL,BPC,4560.0,4550.0,27.0,22.05,4.75,474.03,4554.98,4567.46,2023-07-25
2023-07-18,call,em75_always_bull,BULL,BCD,4600.0,4590.0,8.05,10.65,2.8,-280.97,4554.98,4567.46,2023-07-25
2023-07-18,call,em75_always_short,BULL,BCC,4590.0,4600.0,10.65,8.05,2.4,239.03,4554.98,4567.46,2023-07-25
2023-07-18,call,em75_regime_follow,BULL,BCD,4600.0,4590.0,8.05,10.65,2.8,-280.97,4554.98,4567.46,2023-07-25
2023-07-18,call,em75_skip_bear,BULL,BCD,4600.0,4590.0,8.05,10.65,2.8,-280.97,4554.98,4567.46,2023-07-25
2023-07-18,put,put_regime,BULL,BPC,4510.0,4500.0,13.3,10.9,2.2,219.03,4554.98,4566.75,2023-07-26
2023-07-19,call,50d_always_bull,BULL,BPC,4570.0,4560.0,29.7,25.05,4.45,119.03,4565.72,4566.75,2023-07-26
2023-07-19,call,50d_regime_follow,BULL,BPC,4570.0,4560.0,29.7,25.05,4.45,119.03,4565.72,4566.75,2023-07-26
2023-07-19,call,50d_skip_bear,BULL,BPC,4570.0,4560.0,29.7,25.05,4.45,119.03,4565.72,4566.75,2023-07-26
2023-07-19,call,em75_always_bull,BULL,BCD,4620.0,4610.0,9.65,12.35,2.9,-290.97,4565.72,4566.75,2023-07-26
2023-07-19,call,em75_always_short,BULL,BCC,4610.0,4620.0,12.35,9.65,2.5,249.03,4565.72,4566.75,2023-07-26
2023-07-19,call,em75_regime_follow,BULL,BCD,4620.0,4610.0,9.65,12.35,2.9,-290.97,4565.72,4566.75,2023-07-26
2023-07-19,call,em75_skip_bear,BULL,BCD,4620.0,4610.0,9.65,12.35,2.9,-290.97,4565.72,4566.75,2023-07-26
2023-07-19,put,put_regime,BULL,BPC,4520.0,4510.0,13.55,11.3,2.05,204.03,4565.72,4537.41,2023-07-27
2023-07-20,call,50d_always_bull,BEAR,BPC,4540.0,4530.0,28.9,24.5,4.2,160.05,4534.87,4537.41,2023-07-27
2023-07-20,call,50d_regime_follow,BEAR,BPD,4530.0,4540.0,24.5,28.9,4.6,-201.99,4534.87,4537.41,2023-07-27
2023-07-20,call,em75_always_bull,BEAR,BCD,4590.0,4580.0,10.75,13.65,3.1,-310.97,4534.87,4537.41,2023-07-27
2023-07-20,call,em75_always_short,BEAR,BCC,4580.0,4590.0,13.65,10.75,2.7,269.03,4534.87,4537.41,2023-07-27
2023-07-20,call,em75_regime_follow,BEAR,BCC,4580.0,4590.0,13.65,10.75,2.7,269.03,4534.87,4537.41,2023-07-27
2023-07-20,put,put_regime,BEAR,BPD,4475.0,4485.0,11.1,13.05,2.15,-215.97,4534.87,4582.23,2023-07-28
2023-07-21,call,50d_always_bull,BULL,BPC,4540.0,4530.0,29.1,24.5,4.4,439.03,4536.34,4582.23,2023-07-28
2023-07-21,call,50d_regime_follow,BULL,BPC,4540.0,4530.0,29.1,24.5,4.4,439.03,4536.34,4582.23,2023-07-28
2023-07-21,call,50d_skip_bear,BULL,BPC,4540.0,4530.0,29.1,24.5,4.4,439.03,4536.34,4582.23,2023-07-28
2023-07-21,call,em75_always_bull,BULL,BCD,4590.0,4580.0,9.2,11.95,2.95,-72.97,4536.34,4582.23,2023-07-28
2023-07-21,call,em75_always_short,BULL,BCC,4580.0,4590.0,11.95,9.2,2.55,31.03,4536.34,4582.23,2023-07-28
2023-07-21,call,em75_regime_follow,BULL,BCD,4590.0,4580.0,9.2,11.95,2.95,-72.97,4536.34,4582.23,2023-07-28
2023-07-21,call,em75_skip_bear,BULL,BCD,4590.0,4580.0,9.2,11.95,2.95,-72.97,4536.34,4582.23,2023-07-28
2023-07-21,put,put_regime,BULL,BPC,4490.0,4480.0,13.65,11.35,2.1,209.03,4536.34,4588.96,2023-07-31
2023-07-24,call,50d_always_bull,BEAR,BPC,4560.0,4550.0,28.1,23.7,4.2,419.03,4554.64,4588.96,2023-07-31
2023-07-24,call,50d_regime_follow,BEAR,BPD,4550.0,4560.0,23.7,28.1,4.6,-460.97,4554.64,4588.96,2023-07-31
2023-07-24,call,em75_always_bull,BEAR,BCD,4610.0,4600.0,9.55,12.35,3.0,-300.97,4554.64,4588.96,2023-07-31
2023-07-24,call,em75_always_short,BEAR,BCC,4600.0,4610.0,12.35,9.55,2.6,259.03,4554.64,4588.96,2023-07-31
2023-07-24,call,em75_regime_follow,BEAR,BCC,4600.0,4610.0,12.35,9.55,2.6,259.03,4554.64,4588.96,2023-07-31
2023-07-24,put,put_regime,BEAR,BPD,4500.0,4510.0,10.8,12.85,2.25,-225.97,4554.64,4576.73,2023-08-01
2023-07-25,call,50d_regime_follow,BEAR,BPD,4565.0,4575.0,21.65,25.8,4.35,-435.97,4567.46,4576.73,2023-08-01
2023-07-25,call,em75_always_short,BEAR,BCC,4610.0,4620.0,15.4,12.15,3.05,304.03,4567.46,4576.73,2023-08-01
2023-07-25,call,em75_regime_follow,BEAR,BCC,4610.0,4620.0,15.4,12.15,3.05,304.03,4567.46,4576.73,2023-08-01
2023-07-25,put,put_regime,BEAR,BPD,4510.0,4520.0,9.15,10.85,1.9,470.02,4567.46,4513.39,2023-08-02
2023-07-27,call,50d_regime_follow,BEAR,BPD,4530.0,4540.0,20.6,24.4,4.0,599.03,4537.41,4501.89,2023-08-03
